,Unnamed: 0,subsr,asset_nm,ct_cl,genre_of_ct_cl,use_tms,SMRY,ACTR_DISP,disp_rtm,strt_dt
5953,2052,61683000,사장님 귀는 당나귀 귀 242회(24/01/28),TV 연예/오락,기타,2263,1. 박명수 - 데뷔 32년 차 개그맨 박명수! 이번엔 개그콘서트 연습실에 방문하다? 2. 박기량 - NEW 보스! 치어리더계의 살아있는 전설! 치어리더 박기량이 NEW 보스로 떴다! 3. 정지선 - 매출 회복에 어려움을 겪고 있는 정지선 셰프! 이대로 망할 순 없다!,"전현무,김숙,허재,김희철",1:27,20200000000000.0
5954,2053,63419000,사장님 귀는 당나귀 귀 242회(24/01/28),TV 연예/오락,기타,5220,1. 박명수 - 데뷔 32년 차 개그맨 박명수! 이번엔 개그콘서트 연습실에 방문하다? 2. 박기량 - NEW 보스! 치어리더계의 살아있는 전설! 치어리더 박기량이 NEW 보스로 떴다! 3. 정지선 - 매출 회복에 어려움을 겪고 있는 정지선 셰프! 이대로 망할 순 없다!,"전현무,김숙,허재,김희철",1:27,20200000000000.0
5955,2061,64680000,슬기로운 산촌생활 02회,TV 연예/오락,기타,1239,"산촌에 겨울이 찾아왔어요~ 슬촌 하우스를 방문한 첫 번째 손님 신현빈. 99즈 주려고 챙겨온 고급 식재료! BUT 공짜는 없다?! 일당백 밭일부터 제작인 상대로 노련한 협상까지, 장겨울만큼 똑소리 나는 신현빈 본캐 OPEN★","조정석,유연석,정경호,김대명,전미도",1:35,20200000000000.0
5956,2062,64680000,슬기로운 산촌생활 02회,TV 연예/오락,기타,1509,"산촌에 겨울이 찾아왔어요~ 슬촌 하우스를 방문한 첫 번째 손님 신현빈. 99즈 주려고 챙겨온 고급 식재료! BUT 공짜는 없다?! 일당백 밭일부터 제작인 상대로 노련한 협상까지, 장겨울만큼 똑소리 나는 신현빈 본캐 OPEN★","조정석,유연석,정경호,김대명,전미도",1:35,20200000000000.0
5957,2063,64680000,슬기로운 산촌생활 02회,TV 연예/오락,기타,5700,"산촌에 겨울이 찾아왔어요~ 슬촌 하우스를 방문한 첫 번째 손님 신현빈. 99즈 주려고 챙겨온 고급 식재료! BUT 공짜는 없다?! 일당백 밭일부터 제작인 상대로 노련한 협상까지, 장겨울만큼 똑소리 나는 신현빈 본캐 OPEN★","조정석,유연석,정경호,김대명,전미도",1:35,20200000000000.0
5958,2064,64680000,슬기로운 산촌생활 02회,TV 연예/오락,기타,1250,"산촌에 겨울이 찾아왔어요~ 슬촌 하우스를 방문한 첫 번째 손님 신현빈. 99즈 주려고 챙겨온 고급 식재료! BUT 공짜는 없다?! 일당백 밭일부터 제작인 상대로 노련한 협상까지, 장겨울만큼 똑소리 나는 신현빈 본캐 OPEN★","조정석,유연석,정경호,김대명,전미도",1:35,20200000000000.0
5959,2065,64680000,슬기로운 산촌생활 02회,TV 연예/오락,기타,4446,"산촌에 겨울이 찾아왔어요~ 슬촌 하우스를 방문한 첫 번째 손님 신현빈. 99즈 주려고 챙겨온 고급 식재료! BUT 공짜는 없다?! 일당백 밭일부터 제작인 상대로 노련한 협상까지, 장겨울만큼 똑소리 나는 신현빈 본캐 OPEN★","조정석,유연석,정경호,김대명,전미도",1:35,20200000000000.0
5960,2109,60593000,(HD)TV동물농장 1154회(24/01/14),TV 연예/오락,기타,3840,"1. 벽 뚫는 시바견 - 퇴근 후 매일매일이 일촉즉발! 벽 뚫는 시바견 나무! 2. 3년째 베란다에서만 사는 고양이 - 무려 14층 아파트 베란다에 갑자기 나타난 고양이의 사연은? 3. 시키지도 않은 충견 행세, 누렁이의 사연은? - 일면식도 없는 젊은 남녀를 쫓아다니는 누렁이!","신동엽,정선희,토니안 ,조이",1:04,20200000000000.0
5961,2136,64984000,개는 훌륭하다 189회(23/09/04),TV 연예/오락,기타,3600,외부인만 보면 짖음 폭격 n 마구 물어뜯는 역대급 고민 견! 하루도 조용할 날이 없는 15마리 다견 가정 루이네! 과연 루이네는 수많은 난관을 헤치고 그토록 원하던 행복을 찾을 수 있을지?,"강형욱,이경규,박세리",1:00,20200000000000.0
5962,2137,62474000,(HD)런닝맨 678회(23/11/05),TV 연예/오락,기타,20,"백만 원의 꿈. 사람은 일곱, 봉투는 하나. 100만 원 숨바꼭질 시작! 마지막 하나의 이름이 상금의 주인이 된다! 그리고 판을 뒤흔들 또 하나의 충격적인 비밀. 모든 비용은 누군가가 갚을 빚이 된다. 누군가는 부자가 될 때 누군가는 빚더미에 앉는 돈 봉투와 빚 봉투의 전쟁!","유재석,지석진,김종국,하하,송지효,양세찬,전소민",1:33,20200000000000.0
5963,2138,62474000,(HD)런닝맨 678회(23/11/05),TV 연예/오락,기타,85,"백만 원의 꿈. 사람은 일곱, 봉투는 하나. 100만 원 숨바꼭질 시작! 마지막 하나의 이름이 상금의 주인이 된다! 그리고 판을 뒤흔들 또 하나의 충격적인 비밀. 모든 비용은 누군가가 갚을 빚이 된다. 누군가는 부자가 될 때 누군가는 빚더미에 앉는 돈 봉투와 빚 봉투의 전쟁!","유재석,지석진,김종국,하하,송지효,양세찬,전소민",1:33,20200000000000.0
5964,2139,61492000,(HD)런닝맨 678회(23/11/05),TV 연예/오락,기타,0,"백만 원의 꿈. 사람은 일곱, 봉투는 하나. 100만 원 숨바꼭질 시작! 마지막 하나의 이름이 상금의 주인이 된다! 그리고 판을 뒤흔들 또 하나의 충격적인 비밀. 모든 비용은 누군가가 갚을 빚이 된다. 누군가는 부자가 될 때 누군가는 빚더미에 앉는 돈 봉투와 빚 봉투의 전쟁!","유재석,지석진,김종국,하하,송지효,양세찬,전소민",1:33,20200000000000.0
5965,2140,61492000,(HD)런닝맨 678회(23/11/05),TV 연예/오락,기타,81,"백만 원의 꿈. 사람은 일곱, 봉투는 하나. 100만 원 숨바꼭질 시작! 마지막 하나의 이름이 상금의 주인이 된다! 그리고 판을 뒤흔들 또 하나의 충격적인 비밀. 모든 비용은 누군가가 갚을 빚이 된다. 누군가는 부자가 될 때 누군가는 빚더미에 앉는 돈 봉투와 빚 봉투의 전쟁!","유재석,지석진,김종국,하하,송지효,양세찬,전소민",1:33,20200000000000.0
5966,2150,64659000,어쩌다 어른 62회,TV 연예/오락,기타,58,"7개 국어 능통의 능력자이자 베스트셀러 작가이기도 한 조승연이 풀어주는 영어의 비밀 영어가 도대체 뭐길래. 우리는 영어와의 첫 만남부터 배배 꼬여있다, 우리가 생각하는 표준영어에 대한 오해와 진실, 편지봉투에서 보이는 동서양의 언어적 차이점 등을 공개한다.","김상중,조승연",1:04,20200000000000.0
5967,2151,64659000,어쩌다 어른 62회,TV 연예/오락,기타,6,"7개 국어 능통의 능력자이자 베스트셀러 작가이기도 한 조승연이 풀어주는 영어의 비밀 영어가 도대체 뭐길래. 우리는 영어와의 첫 만남부터 배배 꼬여있다, 우리가 생각하는 표준영어에 대한 오해와 진실, 편지봉투에서 보이는 동서양의 언어적 차이점 등을 공개한다.","김상중,조승연",1:04,20200000000000.0
5968,2179,64385000,(HD)복면가왕 428회(23/11/26),TV 연예/오락,기타,2580,"심금을 울리는 목소리로 무대를 장악한 가왕 미다스의 손! 과연 마의 4연승 문턱을 넘어설 수 있을지?! 국민 MC 유재석이 픽한 애창곡의 원곡자 등장?! 귓가를 사로잡는 명곡을 보유한 복면가수는 누구?! 드라마 무빙의 주역 이정하, 복면가수로 출연?!","김성주,김구라",1:31,20200000000000.0
5969,2180,64385000,(HD)복면가왕 428회(23/11/26),TV 연예/오락,기타,6,"심금을 울리는 목소리로 무대를 장악한 가왕 미다스의 손! 과연 마의 4연승 문턱을 넘어설 수 있을지?! 국민 MC 유재석이 픽한 애창곡의 원곡자 등장?! 귓가를 사로잡는 명곡을 보유한 복면가수는 누구?! 드라마 무빙의 주역 이정하, 복면가수로 출연?!","김성주,김구라",1:31,20200000000000.0
5970,2181,65954000,고딩엄빠 4 21회(23/12/13),TV 연예/오락,기타,4980,24시간 내내 잔소리하는 남편의 등장?! 말투 좀 예쁘게 해 달라는 아내의 불만에도... 쉬지 않는 그의 훈계질 말투! 아내를 위하지 않는 일방적인 대화에 파국으로 치닫는 이 부부의 미래는?,"박미선,인교진,서장훈",1:23,20200000000000.0
5971,2182,61065000,고딩엄빠 4 21회(23/12/13),TV 연예/오락,기타,1821,24시간 내내 잔소리하는 남편의 등장?! 말투 좀 예쁘게 해 달라는 아내의 불만에도... 쉬지 않는 그의 훈계질 말투! 아내를 위하지 않는 일방적인 대화에 파국으로 치닫는 이 부부의 미래는?,"박미선,인교진,서장훈",1:23,20200000000000.0
5972,2184,66056000,2023 개그콘서트 007회(23/12/24),TV 연예/오락,기타,2540,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.,-,1:31,20200000000000.0
5973,2185,66056000,2023 개그콘서트 007회(23/12/24),TV 연예/오락,기타,5460,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.,-,1:31,20200000000000.0
5974,2186,66056000,2023 개그콘서트 007회(23/12/24),TV 연예/오락,기타,5460,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.,-,1:31,20200000000000.0
5975,2187,66056000,2023 개그콘서트 007회(23/12/24),TV 연예/오락,기타,907,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.,-,1:31,20200000000000.0
5976,2242,64385000,신상 출시 편스토랑 194회(23/09/15),TV 연예/오락,기타,4680,"편셰프들에게 주어진 예순한 번째 주제, 가을의 맛! 1. 만능 여신 정현의 요리는 한 끗이 다르다! 초간단 정현표 브런치 요리! 2. 프린세빈 하우스에 국민 엄마 배우 김미경이 떴다! 3. 어남선생표 만 원의 행복! 이번에는 제5탄! 꽈리 멸치 치킨!","이연복,이정현,이유리,오윤아,한지혜,전혜빈,한다감,김재원,류수영,기태영,정상훈,박솔미",1:18,20200000000000.0
5977,2243,64385000,신상 출시 편스토랑 194회(23/09/15),TV 연예/오락,기타,7,"편셰프들에게 주어진 예순한 번째 주제, 가을의 맛! 1. 만능 여신 정현의 요리는 한 끗이 다르다! 초간단 정현표 브런치 요리! 2. 프린세빈 하우스에 국민 엄마 배우 김미경이 떴다! 3. 어남선생표 만 원의 행복! 이번에는 제5탄! 꽈리 멸치 치킨!","이연복,이정현,이유리,오윤아,한지혜,전혜빈,한다감,김재원,류수영,기태영,정상훈,박솔미",1:18,20200000000000.0
5978,2246,64385000,사랑은 아무나 하나2 05회(23/10/23),TV 연예/오락,기타,4140,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.,-,1:09,20200000000000.0
5979,2253,62613000,1박2일 시즌4 204회(23/12/10),TV 연예/오락,기타,22,몸에 서 깨어나는 웃음 본능! 웃음 욕심 가득한 12명이 모이니 더 커진 난장판! 의좋은 마을에서 벌어지는 본격 우애 해체 프로젝트! 무너지고 고장 나고 코피 난다..! 여러 질병이 난무하는 가운데 무사 귀가할 형님은...?,"연정훈,김종민,문세윤,딘딘,나인우,유선호",1:35,20200000000000.0
5980,2254,62613000,1박2일 시즌4 204회(23/12/10),TV 연예/오락,기타,1242,몸에 서 깨어나는 웃음 본능! 웃음 욕심 가득한 12명이 모이니 더 커진 난장판! 의좋은 마을에서 벌어지는 본격 우애 해체 프로젝트! 무너지고 고장 나고 코피 난다..! 여러 질병이 난무하는 가운데 무사 귀가할 형님은...?,"연정훈,김종민,문세윤,딘딘,나인우,유선호",1:35,20200000000000.0
5981,2255,62613000,1박2일 시즌4 204회(23/12/10),TV 연예/오락,기타,7,몸에 서 깨어나는 웃음 본능! 웃음 욕심 가득한 12명이 모이니 더 커진 난장판! 의좋은 마을에서 벌어지는 본격 우애 해체 프로젝트! 무너지고 고장 나고 코피 난다..! 여러 질병이 난무하는 가운데 무사 귀가할 형님은...?,"연정훈,김종민,문세윤,딘딘,나인우,유선호",1:35,20200000000000.0
5982,2256,62613000,1박2일 시즌4 204회(23/12/10),TV 연예/오락,기타,2403,몸에 서 깨어나는 웃음 본능! 웃음 욕심 가득한 12명이 모이니 더 커진 난장판! 의좋은 마을에서 벌어지는 본격 우애 해체 프로젝트! 무너지고 고장 나고 코피 난다..! 여러 질병이 난무하는 가운데 무사 귀가할 형님은...?,"연정훈,김종민,문세윤,딘딘,나인우,유선호",1:35,20200000000000.0
5983,2257,62613000,1박2일 시즌4 204회(23/12/10),TV 연예/오락,기타,5700,몸에 서 깨어나는 웃음 본능! 웃음 욕심 가득한 12명이 모이니 더 커진 난장판! 의좋은 마을에서 벌어지는 본격 우애 해체 프로젝트! 무너지고 고장 나고 코피 난다..! 여러 질병이 난무하는 가운데 무사 귀가할 형님은...?,"연정훈,김종민,문세윤,딘딘,나인우,유선호",1:35,20200000000000.0
5984,2325,65265000,(HD)나 혼자산다 521회(23/11/17),TV 연예/오락,기타,27,"쨍하고 해 뜰 날 편. 드디어 바라고 바라던 D-DAY!! 무지개 회원들의 해 뜰 날. 열심히 일한 자여, 떠나라! 10년 차 휴가를 떠난 대호! 대호가 선택한 휴가지는? 바로 신비의 땅 이집트! 유적지 애호가(?) 대호의 위시리스트 총집합!","전현무,박나래,기안84,키,코드 쿤스트,이장우,이주승,김대호,김광규",1:32,20200000000000.0
5985,2326,65265000,(HD)나 혼자산다 521회(23/11/17),TV 연예/오락,기타,1741,"쨍하고 해 뜰 날 편. 드디어 바라고 바라던 D-DAY!! 무지개 회원들의 해 뜰 날. 열심히 일한 자여, 떠나라! 10년 차 휴가를 떠난 대호! 대호가 선택한 휴가지는? 바로 신비의 땅 이집트! 유적지 애호가(?) 대호의 위시리스트 총집합!","전현무,박나래,기안84,키,코드 쿤스트,이장우,이주승,김대호,김광규",1:32,20200000000000.0
5986,2327,65265000,(HD)나 혼자산다 521회(23/11/17),TV 연예/오락,기타,4098,"쨍하고 해 뜰 날 편. 드디어 바라고 바라던 D-DAY!! 무지개 회원들의 해 뜰 날. 열심히 일한 자여, 떠나라! 10년 차 휴가를 떠난 대호! 대호가 선택한 휴가지는? 바로 신비의 땅 이집트! 유적지 애호가(?) 대호의 위시리스트 총집합!","전현무,박나래,기안84,키,코드 쿤스트,이장우,이주승,김대호,김광규",1:32,20200000000000.0
5987,2328,65265000,(HD)나 혼자산다 521회(23/11/17),TV 연예/오락,기타,5,"쨍하고 해 뜰 날 편. 드디어 바라고 바라던 D-DAY!! 무지개 회원들의 해 뜰 날. 열심히 일한 자여, 떠나라! 10년 차 휴가를 떠난 대호! 대호가 선택한 휴가지는? 바로 신비의 땅 이집트! 유적지 애호가(?) 대호의 위시리스트 총집합!","전현무,박나래,기안84,키,코드 쿤스트,이장우,이주승,김대호,김광규",1:32,20200000000000.0
5988,2329,64130000,(HD)런닝맨 682회(23/12/03),TV 연예/오락,기타,268,"타짜: 꾼의 낙원. Welcome to 캐러멜 월드! 온미남 유승호, 냉미남 뷔 등장! 반칙은 없다... 꼼수가 있을 뿐! 신입 타짜들의 기세에 술렁이는 고인물들. 물불 안 가리고 덤벼드는 신입 타짜들의 파죽지세! 두 꾼들이 뒤흔든 한 판 승부가 시작된다!","유재석,지석진,김종국,하하,송지효,양세찬",1:33,20200000000000.0
5989,2330,64130000,(HD)런닝맨 682회(23/12/03),TV 연예/오락,기타,823,"타짜: 꾼의 낙원. Welcome to 캐러멜 월드! 온미남 유승호, 냉미남 뷔 등장! 반칙은 없다... 꼼수가 있을 뿐! 신입 타짜들의 기세에 술렁이는 고인물들. 물불 안 가리고 덤벼드는 신입 타짜들의 파죽지세! 두 꾼들이 뒤흔든 한 판 승부가 시작된다!","유재석,지석진,김종국,하하,송지효,양세찬",1:33,20200000000000.0
5990,2336,60593000,놀면 뭐하니? 220회(24/01/13),TV 연예/오락,기타,4560,"새해를 맞이해 다시 돌아온 우리의 석훈 아저씨. 오늘은 YG 구내식당으로 가자! 말로만 듣던 구내식당, 감탄 연발! 헬스, 간식, 안마까지 내 집 같은 남의 회사!","유재석,하하,박진주,이이경,미주,주우재",1:16,20200000000000.0
5991,2337,63308000,놀면 뭐하니? 220회(24/01/13),TV 연예/오락,기타,1796,"새해를 맞이해 다시 돌아온 우리의 석훈 아저씨. 오늘은 YG 구내식당으로 가자! 말로만 듣던 구내식당, 감탄 연발! 헬스, 간식, 안마까지 내 집 같은 남의 회사!","유재석,하하,박진주,이이경,미주,주우재",1:16,20200000000000.0
5992,2338,66006000,놀면 뭐하니? 220회(24/01/13),TV 연예/오락,기타,0,"새해를 맞이해 다시 돌아온 우리의 석훈 아저씨. 오늘은 YG 구내식당으로 가자! 말로만 듣던 구내식당, 감탄 연발! 헬스, 간식, 안마까지 내 집 같은 남의 회사!","유재석,하하,박진주,이이경,미주,주우재",1:16,20200000000000.0
5993,2339,64130000,놀면 뭐하니? 220회(24/01/13),TV 연예/오락,기타,65,"새해를 맞이해 다시 돌아온 우리의 석훈 아저씨. 오늘은 YG 구내식당으로 가자! 말로만 듣던 구내식당, 감탄 연발! 헬스, 간식, 안마까지 내 집 같은 남의 회사!","유재석,하하,박진주,이이경,미주,주우재",1:16,20200000000000.0
5994,2340,64130000,놀면 뭐하니? 220회(24/01/13),TV 연예/오락,기타,2165,"새해를 맞이해 다시 돌아온 우리의 석훈 아저씨. 오늘은 YG 구내식당으로 가자! 말로만 듣던 구내식당, 감탄 연발! 헬스, 간식, 안마까지 내 집 같은 남의 회사!","유재석,하하,박진주,이이경,미주,주우재",1:16,20200000000000.0
