,subsr,chnl_nm,in_dt,use_tms,pgm_nm,SMRY,ACTR_DISP,
22,65828000,채널J,20240301120333,5,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
23,65263000,채널J,20240301104711,7,낭만닥터 김사부(19회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
24,65697000,채널J,20240301164239,7,낭만닥터 김사부(19회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
25,60898000,채널J,20240301155805,6191,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
26,65076000,채널J,20240301163740,426,낭만닥터 김사부(19회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
27,63089000,채널J,20240301154248,5,낭만닥터 김사부(19회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
28,60283000,아시아 M,20240301195618,3,신용문객잔,,"양가휘,임청하,장만옥",
29,66812000,아시아 M,20240301192501,4,신용문객잔,,"양가휘,임청하,장만옥",
30,66466000,아시아 M,20240301192327,4,신용문객잔,,"양가휘,임청하,장만옥",
31,59901000,아시아 M,20240301181237,204,신용문객잔,,"양가휘,임청하,장만옥",
32,60824000,아시아 M,20240301194050,2,신용문객잔,,"양가휘,임청하,장만옥",
33,65980000,아시아 M,20240301181500,1356,신용문객잔,,"양가휘,임청하,장만옥",
34,67120000,아시아 M,20240301194223,488,신용문객잔,,"양가휘,임청하,장만옥",
35,61263000,OCN무비즈,20240301003109,9155,이끼,,"유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호",
36,65834000,OCN무비즈,20240301175912,7,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리",
37,65019000,OCN무비즈,20240301003306,1,이끼,,"유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호",
38,60727000,OCN무비즈,20240301020718,8,이끼,,"유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호",
39,61931000,OCN무비즈,20240301001905,3030,이끼,,"유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호",
40,67120000,스포골프헬스,20240301195124,32,2024 LIV골프 제다,,,
41,61135000,OCN무비즈,20240301170655,16,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리",
42,66362000,OCN무비즈,20240301004833,519,이끼,,"유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호",
43,66974000,OCN무비즈,20240301165649,14,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리",
44,65528000,OCN무비즈,20240301173035,1897,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리",
45,64672000,OCN무비즈,20240301005914,14,이끼,,"유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호",
