,subsr,asset_nm,ct_cl,genre_of_ct_cl,use_tms,SMRY,ACTR_DISP,disp_rtm,strt_dt
622,64984000,신사와 아가씨 45회,TV드라마,기타,33,단단은 사라의 아이가 영국의 아이가 아닐지도 모른다는 생각에 영국을 찾아가지만 영국은 자신의 아이를 부정할 수 없다며 냉정하게 대한다. 영국이 단단 생각에 술로 밤을 지새우는 날이 늘어가자 재니는 분리불안증이 심해진 세종을 데리고 단단의 집으로 향하는데...,"지현우,이세희,강은탁,박하나,이종원,이일화,오현경",01:11,20240213034047
623,64984000,신사와 아가씨 45회,TV드라마,기타,1730,단단은 사라의 아이가 영국의 아이가 아닐지도 모른다는 생각에 영국을 찾아가지만 영국은 자신의 아이를 부정할 수 없다며 냉정하게 대한다. 영국이 단단 생각에 술로 밤을 지새우는 날이 늘어가자 재니는 분리불안증이 심해진 세종을 데리고 단단의 집으로 향하는데...,"지현우,이세희,강은탁,박하나,이종원,이일화,오현경",01:11,20240213172809
624,66875000,천왕조리 : 슈퍼스타 과외하기 02회(A),TV드라마,외화 시리즈,0,"유시는 사랑에 상처받은 위츠야오야오가 자꾸만 신경 쓰이고, 혹시나 나쁜 마음을 먹지 않을까 걱정한다. 그러다 위츠야오야오의 집에 불이 나고, 유시는 그녀에게 당분간 본인의 집에서 지내라고 한다. 위츠야오는 운전을 배우다 유시를 차로 들이받는데...","쑨쩌위안,루양양,왕루칭,천펑완리",00:40,20240202233909
625,60326000,공자귀성 16회.,TV드라마,외화 시리즈,1,"당불언과 함께 유곡에 도착한 이성혜와 이전은 그곳에서도 당불언의 마음을 얻기 위해 신경전을 펼친다. 이전은 꾀를 부려 당불언과 이성혜를 떼어놓으려고 하지만, 당불언은 이성혜를 구하러 간다. 한편, 이성혜는 당불언을 구하려고 대신 암기에 맞는데...","진메이천,멍언,우청쩌,차이샹위",00:25,20240226142237
626,60326000,공자귀성 16회.,TV드라마,외화 시리즈,1096,"당불언과 함께 유곡에 도착한 이성혜와 이전은 그곳에서도 당불언의 마음을 얻기 위해 신경전을 펼친다. 이전은 꾀를 부려 당불언과 이성혜를 떼어놓으려고 하지만, 당불언은 이성혜를 구하러 간다. 한편, 이성혜는 당불언을 구하려고 대신 암기에 맞는데...","진메이천,멍언,우청쩌,차이샹위",00:25,20240226142239
627,60326000,공자귀성 16회.,TV드라마,외화 시리즈,724,"당불언과 함께 유곡에 도착한 이성혜와 이전은 그곳에서도 당불언의 마음을 얻기 위해 신경전을 펼친다. 이전은 꾀를 부려 당불언과 이성혜를 떼어놓으려고 하지만, 당불언은 이성혜를 구하러 간다. 한편, 이성혜는 당불언을 구하려고 대신 암기에 맞는데...","진메이천,멍언,우청쩌,차이샹위",00:25,20240226090912
628,66705000,천하장하 07회.,TV드라마,외화 시리즈,2553,"수해 지역을 순시하기 위해 관선을 타고 남하한 강희 황제는 철우진에서 물이 불어나는 때를 정확히 맞춘 진천일을 만난다. 강희 황제는 관선으로 진천일을 불러 치수 대계를 이야기하고, 치수에 진심인 강희 황제의 마음을 읽은 진천일은 황제를 돕기로 한다.","라진,윤방",00:44,20240211184854
629,66056000,누구든 먹어치운 형수의 식탐(예고),영화,성인,60,성욕이 너무 충만한 나머지 회사에서 퇴근하고 집에 온 남편에게 밥도 먹이지 않고 관계를 요구하는 아내. 이에 남편은 아내의 유혹에 넘어가 관계를 하지만 한 번으로 만족할 수 없었던 그녀는 그의 성기가 말라비틀어질 때까지 섹스를 강행한다.,"타니 아즈사,마치오 나니야",00:01,20240216060718
630,60784000,누구든 먹어치운 형수의 식탐,기타,기타,120,성욕이 너무 충만한 나머지 회사에서 퇴근하고 집에 온 남편에게 밥도 먹이지 않고 관계를 요구하는 아내. 이에 남편은 아내의 유혹에 넘어가 관계를 하지만 한 번으로 만족할 수 없었던 그녀는 그의 성기가 말라비틀어질 때까지 섹스를 강행한다.,"타니 아즈사,마치오 나니야",01:00,20240207220658
631,66056000,누구든 먹어치운 형수의 식탐(예고),영화,성인,20,성욕이 너무 충만한 나머지 회사에서 퇴근하고 집에 온 남편에게 밥도 먹이지 않고 관계를 요구하는 아내. 이에 남편은 아내의 유혹에 넘어가 관계를 하지만 한 번으로 만족할 수 없었던 그녀는 그의 성기가 말라비틀어질 때까지 섹스를 강행한다.,"타니 아즈사,마치오 나니야",00:01,20240216060421
632,66875000,미우연쌍비 07회(A),TV드라마,외화 시리즈,1499,"가계는 먼 막북으로 가야 한다며 말희에게 자신을 기다리지 말라는 말을 남기고 떠난다. 한편 오 승상이 봉요를 자신의 바보 아들과 혼인시키려 하자, 말희는 봉요를 돕기 위해 가계에게 서신을 보내고 이내 청천벽력 같은 소식을 듣게 되는데...","장난,왕위원,쑨이저우,자오잉보",00:45,20240213231443
